ID,KAST,IMPACT,RATING,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps   played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round
seized,67.2%,0.97,0.97,26348,45.8%,26940,0.98,72.8,5.4,1507,39658,0.66,0.15,0.68,0.08,0.07
DEVIL,69.2%,0.99,0.97,11006,48.2%,11297,0.97,73.3,3.7,636,16582,0.66,0.13,0.68,0.1,0.09
PKL,70.3%,1.02,0.97,19872,51.8%,20270,0.98,74.3,4.1,1158,30259,0.66,0.14,0.67,0.1,0.09
SOKER,69.7%,1.07,0.97,11465,42.5%,11889,0.96,75.8,2.8,642,16858,0.68,0.15,0.71,0.12,0.11
ice,68.6%,1.0,1.01,7708,58.1%,7949,0.97,73.1,3.5,430,11515,0.67,0.12,0.69,0.11,0.12
oskarish,69.7%,0.98,0.97,18370,50.3%,18741,0.98,70.7,4.3,1054,28144,0.65,0.13,0.67,0.1,0.1
ELUSIVE,70.7%,0.89,0.97,6410,43.9%,6354,1.01,69.6,3.6,397,10059,0.64,0.14,0.63,0.1,0.11
stk,72.1%,1.0,1.05,10034,42.0%,10257,0.98,74.5,3.0,591,15136,0.66,0.15,0.68,0.13,0.11
RuStY,70.4%,0.99,1.03,23061,53.0%,23462,0.98,73.4,4.4,1292,34898,0.66,0.13,0.67,0.1,0.1
kUcheR,70.0%,0.99,0.97,14944,44.0%,15089,0.99,74.2,2.6,852,22314,0.67,0.15,0.68,0.1,0.1
propleh,70.4%,0.98,1.03,6962,49.1%,7069,0.98,74.0,4.2,395,10494,0.66,0.14,0.67,0.1,0.11
seb,70.3%,0.99,0.97,10456,45.5%,10680,0.98,76.0,4.1,603,15586,0.67,0.15,0.69,0.11,0.11
Keoz,68.0%,1.07,1.03,14980,54.7%,15598,0.96,75.1,4.9,832,22130,0.68,0.13,0.7,0.11,0.09
Queenix,71.1%,0.94,1.03,8272,56.5%,8349,0.99,71.4,4.8,479,12917,0.64,0.12,0.65,0.1,0.11
jmqa,68.1%,1.0,0.97,16152,51.0%,16425,0.98,73.8,4.4,922,24189,0.67,0.13,0.68,0.09,0.08
raalz,70.0%,0.99,0.97,16997,57.9%,17393,0.98,71.5,4.9,955,25832,0.66,0.12,0.67,0.1,0.11
DeStRoYeR,69.0%,1.03,0.97,10649,42.1%,10851,0.98,74.3,2.7,594,15707,0.68,0.12,0.69,0.09,0.09
mono,69.9%,0.92,0.97,11640,44.6%,11657,1.0,75.5,5.7,662,17680,0.66,0.13,0.66,0.07,0.09
SPELLAN,68.8%,1.01,1.03,24704,39.6%,24951,0.99,74.1,5.4,1438,37654,0.66,0.13,0.66,0.08,0.08
RpK,70.4%,0.96,0.97,26056,50.7%,26673,0.98,72.1,2.9,1499,39100,0.67,0.13,0.68,0.11,0.11
sinnopsyy,66.2%,1.1,1.03,11895,57.1%,12445,0.96,78.8,5.4,643,17265,0.69,0.13,0.72,0.08,0.07
RUSH,71.7%,0.97,0.97,24435,47.3%,24806,0.99,71.9,3.9,1413,36954,0.66,0.15,0.67,0.11,0.1
Sapec,68.6%,1.12,1.05,8232,52.6%,8537,0.96,77.3,5.6,451,12082,0.68,0.14,0.71,0.1,0.09
leman,70.4%,0.97,0.97,9069,51.4%,9194,0.99,72.4,4.0,509,13762,0.66,0.13,0.67,0.1,0.12
blocker,70.0%,1.06,1.05,15729,49.3%,16240,0.97,77.0,4.9,864,22973,0.68,0.15,0.71,0.11,0.12
Bymas,71.9%,0.91,1.03,6511,48.6%,6436,1.01,70.8,2.9,382,10241,0.64,0.12,0.63,0.1,0.1
PERCY,67.8%,1.02,0.98,18369,58.5%,18769,0.98,73.5,4.2,1030,27376,0.67,0.12,0.69,0.09,0.09
Sergiz,70.4%,0.94,1.03,7947,51.9%,7849,1.01,72.6,5.1,465,12322,0.64,0.13,0.64,0.08,0.09
Boombl4,68.9%,1.09,1.04,19172,41.6%,19592,0.98,75.9,4.6,1085,28745,0.67,0.14,0.68,0.09,0.08
BIT,71.6%,1.02,0.98,12432,48.2%,12385,1.0,74.3,5.6,735,19001,0.65,0.15,0.65,0.11,0.09
Radifaction,68.8%,1.03,1.03,9177,49.9%,9339,0.98,75.3,3.4,509,13632,0.67,0.13,0.69,0.09,0.09
BURNRUOk,67.8%,1.13,0.98,15228,50.7%,15746,0.97,76.9,3.7,860,22168,0.69,0.14,0.71,0.09,0.08
ZEDKO,70.4%,1.01,0.98,20338,52.6%,20507,0.99,72.9,4.3,1159,30728,0.66,0.12,0.67,0.1,0.09
niki1,70.1%,1.06,0.98,17850,48.8%,18170,0.98,76.8,6.7,1020,26614,0.67,0.16,0.68,0.1,0.09
FinigaN,71.4%,0.94,1.03,8708,50.4%,8580,1.01,70.2,4.6,503,13560,0.64,0.12,0.63,0.1,0.1
prt,69.8%,0.99,1.02,12697,53.3%,12807,0.99,72.7,3.0,732,18994,0.67,0.13,0.67,0.11,0.11
jnt,70.7%,0.97,1.03,10397,35.6%,10260,1.01,68.9,4.1,628,16249,0.64,0.11,0.63,0.09,0.09
syken,68.4%,1.03,0.98,7450,57.8%,7698,0.97,74.1,3.3,413,10832,0.69,0.12,0.71,0.11,0.11
SHOOWTiME,69.2%,1.06,0.98,17257,45.2%,17543,0.98,75.3,4.3,985,25485,0.68,0.13,0.69,0.1,0.1
Llamas,70.6%,0.91,1.01,7735,49.3%,7770,1.0,70.7,3.3,459,11767,0.66,0.12,0.66,0.1,0.11
Norwi,70.4%,0.95,1.02,6984,48.9%,7020,0.99,70.9,4.4,403,10757,0.65,0.11,0.65,0.1,0.1
Fadey,67.6%,1.11,0.98,12635,54.6%,13131,0.96,75.9,3.7,708,18262,0.69,0.13,0.72,0.11,0.1
kwezz,68.6%,0.93,1.01,10967,55.4%,11078,0.99,72.5,4.6,625,16795,0.65,0.11,0.66,0.09,0.09
wiz,68.9%,0.97,1.01,8579,28.7%,8505,1.01,68.8,4.3,496,13167,0.65,0.1,0.65,0.09,0.09
tifa,68.3%,1.04,0.98,7090,45.7%,7199,0.98,74.3,3.6,407,10476,0.68,0.14,0.69,0.09,0.1
doto,68.6%,1.05,0.98,11512,54.8%,11696,0.98,74.6,4.5,648,17287,0.67,0.14,0.68,0.09,0.09
WOOD7,70.7%,0.98,1.04,9283,30.5%,9009,1.03,71.4,5.9,547,14292,0.65,0.12,0.63,0.08,0.08
anger,69.5%,1.0,0.98,12065,50.9%,12294,0.98,74.2,3.5,682,17700,0.68,0.14,0.69,0.1,0.1
apocdud,69.0%,1.07,1.05,12832,37.0%,12941,0.99,74.9,5.5,735,19035,0.67,0.14,0.68,0.11,0.1
bq,68.4%,1.05,1.02,7342,53.1%,7546,0.97,74.6,3.3,398,10734,0.68,0.13,0.7,0.08,0.08
Daffu,71.9%,0.96,1.04,12656,51.3%,12553,1.01,72.8,4.6,717,19219,0.66,0.13,0.65,0.12,0.13
zende,70.3%,1.02,0.98,7064,47.7%,7065,1.0,74.1,3.4,397,10444,0.68,0.13,0.68,0.09,0.11
Spiidi,70.3%,0.93,0.98,36384,40.4%,36200,1.01,73.8,5.0,2101,55855,0.65,0.15,0.65,0.09,0.09
NickelBack,71.3%,1.0,1.05,24490,39.8%,24536,1.0,75.5,6.3,1389,36933,0.66,0.16,0.66,0.11,0.1
DeadFox,69.8%,0.98,0.98,13856,38.4%,13910,1.0,69.5,3.5,807,21060,0.66,0.13,0.66,0.1,0.11
isak,70.0%,0.98,1.03,10437,50.1%,10462,1.0,73.3,5.1,587,15870,0.66,0.13,0.66,0.09,0.09
Zix,70.0%,1.05,1.04,7076,54.4%,7242,0.98,75.0,4.4,400,10329,0.69,0.14,0.7,0.12,0.11
ryann,69.7%,1.07,1.04,12192,55.1%,12461,0.98,73.9,3.0,697,17857,0.68,0.12,0.7,0.12,0.1
gla1ve,70.1%,1.05,0.98,29255,46.5%,29172,1.0,74.8,6.1,1685,44288,0.66,0.16,0.66,0.1,0.08
Perfecto,73.2%,0.88,1.04,11770,46.5%,11335,1.04,69.8,4.5,715,18870,0.62,0.13,0.6,0.09,0.09
AdreN,68.5%,1.05,0.98,31357,48.8%,31574,0.99,75.9,5.3,1767,46454,0.68,0.15,0.68,0.08,0.07
RUBINO,69.2%,0.97,0.98,17632,52.5%,17802,0.99,71.7,2.3,998,26140,0.67,0.13,0.68,0.1,0.09
stellar,71.3%,0.98,1.05,7396,45.7%,7370,1.0,76.2,4.3,427,10968,0.67,0.13,0.67,0.1,0.1
Xizt,69.6%,0.88,0.98,28491,46.8%,27984,1.02,70.4,5.0,1665,42830,0.67,0.17,0.65,0.1,0.1
Jonji,70.3%,1.19,1.09,19154,40.8%,19623,0.98,80.7,6.7,1071,27446,0.7,0.17,0.71,0.11,0.08
DAVEY,68.1%,1.04,0.98,14132,41.3%,14426,0.98,76.7,2.8,801,20713,0.68,0.14,0.7,0.08,0.08
Furlan,69.4%,1.09,0.98,37890,53.0%,38534,0.98,76.2,5.2,2101,55976,0.68,0.14,0.69,0.1,0.09
JACKZ,70.5%,1.05,0.98,19495,58.3%,19674,0.99,73.8,3.3,1096,29144,0.67,0.13,0.68,0.1,0.1
chop,69.1%,0.99,1.02,8082,52.5%,8123,0.99,72.8,5.0,454,12086,0.67,0.13,0.67,0.1,0.11
sXe,70.2%,0.98,0.98,10081,42.9%,10170,0.99,74.4,3.1,577,14992,0.67,0.14,0.68,0.1,0.1
NEKIZ,70.0%,1.06,0.98,17653,48.0%,17794,0.99,74.9,3.9,993,26075,0.68,0.13,0.68,0.1,0.1
ryotzz,70.5%,1.1,1.08,7922,37.2%,8076,0.98,80.4,5.9,447,11613,0.68,0.18,0.7,0.1,0.09
J1rah,69.7%,1.03,1.04,13525,46.1%,13541,1.0,72.9,4.6,785,20383,0.66,0.13,0.66,0.1,0.08
bodyy,69.8%,1.07,0.99,23904,56.2%,24123,0.99,76.1,4.6,1338,35485,0.67,0.15,0.68,0.11,0.09
AZR,70.3%,1.0,0.99,19524,51.5%,19699,0.99,74.4,3.9,1093,28528,0.68,0.14,0.69,0.11,0.11
jabbi,70.0%,1.0,1.03,13844,59.6%,13776,1.0,71.5,4.4,775,20783,0.67,0.11,0.66,0.1,0.1
Lukki,71.6%,0.98,0.99,15622,51.2%,15631,1.0,72.4,3.0,893,23437,0.67,0.13,0.67,0.12,0.12
DeathZz,70.3%,0.93,1.03,9265,49.3%,9192,1.01,73.8,3.5,528,14086,0.66,0.13,0.65,0.09,0.1
larsen,68.0%,1.03,0.99,10597,30.0%,10456,1.01,70.0,4.2,607,16049,0.66,0.1,0.65,0.09,0.07
bubble,70.8%,1.02,0.99,38738,41.5%,38199,1.01,74.2,5.1,2219,58263,0.66,0.15,0.66,0.1,0.1
SAGGERTON,68.8%,1.1,0.99,9723,42.6%,9954,0.98,75.4,4.6,540,14097,0.69,0.15,0.71,0.11,0.1
gade,69.8%,1.01,0.99,16756,53.6%,16884,0.99,72.5,3.6,964,25326,0.66,0.12,0.67,0.1,0.1
djay,70.6%,1.0,1.04,14716,48.0%,14772,1.0,74.7,4.0,837,21634,0.68,0.14,0.68,0.11,0.11
fitch,68.2%,1.1,0.99,10410,52.6%,10620,0.98,77.9,4.9,574,15207,0.68,0.15,0.7,0.09,0.08
krii,70.5%,0.96,0.99,7065,49.1%,7067,1.0,74.1,3.2,399,10544,0.67,0.14,0.67,0.1,0.12
vanity,70.8%,1.05,1.06,10461,41.8%,10381,1.01,74.0,4.6,609,15688,0.67,0.13,0.66,0.1,0.09
Dosia,68.2%,0.95,0.99,25227,48.1%,24934,1.01,73.9,5.5,1431,37517,0.67,0.15,0.66,0.08,0.08
rmn,70.2%,1.05,0.99,20149,54.2%,20180,1.0,74.3,3.6,1129,29540,0.68,0.13,0.68,0.1,0.11
DemQQ,69.2%,1.1,1.07,7138,53.2%,7124,1.0,76.9,5.6,400,10507,0.68,0.14,0.68,0.1,0.09
Drone,69.9%,1.06,0.99,8164,61.8%,8332,0.98,75.2,3.9,454,11841,0.69,0.13,0.7,0.12,0.11
facecrack,69.1%,1.11,0.99,31439,48.4%,32159,0.98,77.6,3.2,1690,45118,0.7,0.14,0.71,0.1,0.09
kaboose,68.3%,1.09,0.99,10006,54.9%,10311,0.97,76.1,2.4,549,14235,0.7,0.12,0.72,0.11,0.11
ANGE1,67.6%,1.18,0.99,31392,51.3%,32077,0.98,80.1,5.0,1728,45027,0.7,0.17,0.71,0.1,0.07
JIaYm,67.4%,1.14,1.05,10080,52.5%,10371,0.97,79.2,4.4,523,14183,0.71,0.14,0.73,0.1,0.1
Dimaoneshot,69.5%,1.13,0.99,23782,52.5%,24309,0.98,77.4,4.0,1310,34466,0.69,0.14,0.71,0.11,0.1
pesadelo,68.3%,1.06,1.04,11082,44.6%,11291,0.98,76.9,6.2,614,16041,0.69,0.14,0.7,0.1,0.09
notaN,71.0%,0.99,0.99,8178,49.1%,8143,1.0,74.0,5.0,460,12278,0.67,0.14,0.66,0.11,0.11
kory,69.7%,1.12,1.06,8856,54.4%,8932,0.99,77.3,4.4,478,12705,0.7,0.14,0.7,0.11,0.12
k1to,69.2%,1.05,1.04,23197,58.0%,23538,0.99,74.9,4.6,1275,33907,0.68,0.12,0.69,0.1,0.09
morelz,68.3%,1.07,0.99,20053,46.7%,20255,0.99,77.0,3.3,1087,28887,0.69,0.13,0.7,0.09,0.09
realz1n,72.7%,1.02,1.06,10002,49.5%,9889,1.01,73.6,5.7,573,15149,0.66,0.14,0.65,0.11,0.09
Liki,72.4%,1.01,1.07,6567,43.4%,6403,1.03,73.9,5.9,395,9991,0.66,0.15,0.64,0.12,0.1
VINI,70.4%,1.02,1.04,17335,48.6%,17355,1.0,73.6,4.2,1000,26088,0.66,0.13,0.67,0.1,0.09
BARBARR,68.2%,1.07,0.99,15776,42.7%,15796,1.0,74.8,3.9,876,23180,0.68,0.13,0.68,0.09,0.09
jaxi,71.1%,1.01,0.99,8103,40.5%,7920,1.02,73.7,2.9,472,12125,0.67,0.14,0.65,0.09,0.11
dukefissura,68.2%,1.14,1.05,7230,60.7%,7347,0.98,77.5,3.9,381,10223,0.71,0.12,0.72,0.11,0.1
BENDJI,69.6%,1.06,0.99,16055,32.5%,15918,1.01,75.4,5.3,878,23318,0.69,0.14,0.68,0.1,0.1
rbz,69.3%,0.96,0.99,11278,48.9%,11140,1.01,73.3,4.3,647,16903,0.67,0.13,0.66,0.09,0.1
xelos,68.4%,1.04,0.99,7960,48.3%,7968,1.0,76.7,5.8,438,11568,0.69,0.15,0.69,0.08,0.08
neptune,70.4%,1.03,1.04,9091,55.4%,9114,1.0,74.8,3.1,498,13218,0.69,0.13,0.69,0.11,0.1
Vegi,69.0%,1.06,1.04,15239,47.6%,15404,0.99,77.0,3.7,801,21935,0.69,0.13,0.7,0.1,0.1
Puls3,71.3%,1.03,0.99,7860,43.3%,7786,1.01,74.7,3.8,436,11572,0.68,0.15,0.67,0.11,0.12
markeloff,69.0%,0.96,0.99,19780,41.6%,19292,1.03,74.3,5.0,1143,29624,0.67,0.15,0.65,0.08,0.09
ALEX,67.4%,1.09,0.99,21407,47.3%,21779,0.98,76.3,3.5,1162,30750,0.7,0.13,0.71,0.1,0.09
gMd,70.2%,1.06,1.05,8389,53.5%,8436,0.99,75.4,3.5,464,12098,0.69,0.14,0.7,0.11,0.11
robiin,70.8%,1.07,0.99,27595,48.0%,27649,1.0,80.1,8.6,1508,40171,0.69,0.17,0.69,0.11,0.1
magixx,71.5%,0.98,1.05,10965,57.3%,10680,1.03,70.3,3.7,638,16888,0.65,0.11,0.63,0.1,0.1
YDNA,68.5%,1.06,1.03,7636,38.9%,7533,1.01,71.0,2.9,435,11265,0.68,0.11,0.67,0.09,0.1
reversive,70.9%,1.04,0.99,10905,43.6%,10763,1.01,75.6,4.6,616,16115,0.68,0.14,0.67,0.1,0.1
freakazoid,70.5%,1.09,0.99,16041,46.8%,16075,1.0,77.9,4.5,901,23127,0.69,0.15,0.7,0.11,0.1
dephh,69.1%,1.16,0.99,14252,47.6%,14484,0.98,80.6,4.9,768,20106,0.71,0.16,0.72,0.11,0.1
SEMPHIS,68.6%,1.02,0.99,15472,36.5%,15505,1.0,73.6,3.1,848,21936,0.71,0.14,0.71,0.1,0.1
freddieb,68.8%,1.07,0.99,20728,52.9%,20548,1.01,77.0,4.2,1135,30119,0.69,0.14,0.68,0.09,0.09
Jerry,70.9%,1.06,1.07,29178,45.7%,28873,1.01,76.7,4.4,1590,42778,0.68,0.14,0.67,0.1,0.09
Noktse,68.7%,1.09,1.06,13852,39.6%,13621,1.02,74.2,4.6,787,20594,0.67,0.13,0.66,0.09,0.09
MUTiRiS,70.4%,1.08,1.0,22278,50.6%,22069,1.01,78.0,5.8,1235,32303,0.69,0.15,0.68,0.1,0.1
uli,70.1%,1.02,1.0,10468,48.8%,10254,1.02,76.5,4.8,575,15393,0.68,0.13,0.67,0.09,0.1
Bååten,69.4%,1.01,1.0,13293,56.5%,13254,1.0,74.1,3.7,738,19661,0.68,0.12,0.67,0.1,0.11
vice,71.4%,1.02,1.0,8668,49.4%,8540,1.01,75.9,3.1,493,12707,0.68,0.14,0.67,0.12,0.11
truth,69.2%,1.01,1.0,8886,51.4%,8837,1.01,75.4,3.4,479,12857,0.69,0.12,0.69,0.09,0.1
STYKO,70.0%,0.99,1.0,27582,57.5%,27129,1.02,74.4,5.0,1566,41290,0.67,0.13,0.66,0.09,0.08
pecks,71.1%,0.96,1.0,6620,45.9%,6458,1.03,72.4,4.4,389,9930,0.67,0.14,0.65,0.09,0.08
peet,69.0%,1.09,1.0,6788,34.0%,6691,1.01,71.0,2.1,379,9993,0.68,0.12,0.67,0.1,0.1
mds,70.1%,1.0,1.04,19564,53.4%,19118,1.02,72.5,2.8,1089,29121,0.67,0.11,0.66,0.09,0.09
cam,71.9%,1.02,1.06,9454,50.8%,9285,1.02,75.3,5.4,544,13974,0.68,0.15,0.66,0.12,0.12
nitr0,71.3%,1.0,1.0,24518,44.4%,24029,1.02,71.5,4.9,1398,36474,0.67,0.14,0.66,0.11,0.1
MODDII,70.1%,1.02,1.0,20585,52.4%,20184,1.02,74.6,3.6,1170,30550,0.67,0.13,0.66,0.08,0.08
pyth,67.4%,0.96,1.0,13677,56.0%,13682,1.0,70.3,4.1,756,19801,0.69,0.13,0.69,0.1,0.1
void,69.8%,0.96,1.03,7854,40.0%,7727,1.02,74.1,2.8,437,11368,0.69,0.13,0.68,0.1,0.11
xseveN,70.8%,1.06,1.0,22799,46.2%,22439,1.02,78.7,6.0,1275,33704,0.68,0.16,0.67,0.09,0.09
ALLE,70.7%,1.06,1.07,7623,49.6%,7518,1.01,77.3,5.5,421,11179,0.68,0.14,0.67,0.11,0.11
adreN,70.9%,1.02,1.0,12259,35.3%,11879,1.03,76.5,5.7,697,18241,0.67,0.15,0.65,0.1,0.12
SZPERO,69.0%,1.06,1.0,36985,33.4%,36135,1.02,72.5,3.4,2058,54420,0.68,0.12,0.66,0.07,0.07
cromen,70.3%,1.06,1.0,11785,52.8%,11718,1.01,74.0,3.6,653,17335,0.68,0.13,0.68,0.11,0.11
Lack1,69.5%,1.07,1.04,16287,45.7%,16232,1.0,74.0,2.7,890,23800,0.68,0.13,0.68,0.09,0.09
supra,70.0%,1.05,1.05,9501,58.0%,9428,1.01,72.9,5.4,533,14303,0.66,0.12,0.66,0.1,0.1
zeff,72.0%,1.15,1.0,8381,42.0%,8327,1.01,77.8,4.9,482,12229,0.69,0.17,0.68,0.13,0.11
RoLEX,69.2%,1.08,1.06,8834,51.2%,8801,1.0,78.6,3.2,492,12610,0.7,0.14,0.7,0.09,0.09
Basso,70.0%,0.92,1.0,10081,53.0%,9816,1.03,70.1,3.5,582,15218,0.66,0.1,0.65,0.09,0.1
mopoz,69.1%,1.11,1.0,20824,51.6%,20844,1.0,75.7,4.8,1153,30609,0.68,0.13,0.68,0.09,0.07
KILLDREAM,70.9%,1.15,1.0,7851,44.2%,7867,1.0,81.9,3.4,429,11159,0.7,0.16,0.7,0.1,0.11
Djoko,69.2%,1.08,1.05,9077,61.7%,9077,1.0,74.8,5.9,500,13271,0.68,0.13,0.68,0.1,0.1
almazer,71.1%,1.0,1.06,23593,51.9%,23026,1.02,74.2,4.2,1310,35199,0.67,0.13,0.65,0.1,0.09
ImpressioN,71.0%,1.06,1.0,12159,48.9%,12028,1.01,76.8,4.2,684,17721,0.69,0.15,0.68,0.1,0.11
dzt,69.6%,1.11,1.0,12004,46.4%,11856,1.01,75.6,3.8,676,17504,0.69,0.13,0.68,0.1,0.09
cbbk,71.4%,1.02,1.06,7029,51.2%,6866,1.02,75.6,4.3,404,10342,0.68,0.15,0.66,0.1,0.1
R0b3n,70.2%,0.98,1.04,9436,49.8%,9215,1.02,74.4,3.0,527,13874,0.68,0.12,0.66,0.09,0.1
SIXER,70.7%,0.95,1.0,18867,39.1%,17915,1.05,69.9,2.7,1087,28664,0.66,0.11,0.62,0.09,0.1
xiaosaGe,70.1%,1.11,1.08,15686,47.7%,15651,1.0,80.0,5.2,847,22333,0.7,0.16,0.7,0.11,0.1
hazed,68.2%,1.12,1.0,13273,49.8%,13354,0.99,78.3,4.1,736,19138,0.69,0.15,0.7,0.09,0.08
leo_drk,70.0%,1.11,1.07,10622,51.6%,10591,1.0,76.5,4.4,597,15378,0.69,0.13,0.69,0.11,0.1
Edward,69.3%,0.98,1.0,26683,51.1%,25994,1.03,72.0,2.9,1473,38787,0.69,0.13,0.67,0.09,0.09
Tsogoo,69.7%,1.03,1.0,8685,52.8%,8578,1.01,77.2,3.3,484,12363,0.7,0.14,0.69,0.1,0.11
1uke,67.3%,1.16,1.0,11017,26.4%,10794,1.02,71.6,2.2,623,16179,0.68,0.09,0.67,0.08,0.07
Oderus,67.0%,1.15,1.04,8738,34.3%,8790,0.99,72.3,1.8,473,12356,0.71,0.09,0.71,0.1,0.1
glace,70.7%,1.0,1.0,10395,52.2%,10029,1.04,74.4,4.1,589,15307,0.68,0.14,0.66,0.09,0.1
fenvicious,69.1%,1.02,1.0,13225,52.7%,13084,1.01,75.7,2.4,729,19059,0.69,0.12,0.69,0.09,0.09
kenzor,70.1%,1.04,1.05,10785,54.8%,10728,1.01,76.6,2.6,598,15627,0.69,0.13,0.69,0.1,0.11
Cabbi,68.4%,1.1,1.04,8930,55.6%,9012,0.99,75.7,4.5,475,12737,0.7,0.13,0.71,0.11,0.12
Relyks,69.6%,1.01,1.0,14589,48.8%,14428,1.01,73.9,5.6,832,21258,0.69,0.12,0.68,0.1,0.1
Zero,71.5%,0.96,1.0,19118,49.1%,18363,1.04,72.0,2.5,1072,28513,0.67,0.12,0.64,0.09,0.11
innocent,69.7%,1.03,1.0,32510,45.9%,31989,1.02,77.1,5.1,1781,46956,0.69,0.15,0.68,0.09,0.09
pounh,69.0%,1.03,1.04,7289,49.5%,7198,1.01,75.9,2.1,401,10552,0.69,0.13,0.68,0.09,0.09
zqkS,70.4%,1.04,1.0,13127,28.7%,12422,1.06,69.7,3.8,768,19875,0.66,0.12,0.63,0.09,0.09
waterfaLLZ,68.0%,1.09,1.0,16371,27.1%,16030,1.02,72.5,3.2,899,23842,0.69,0.12,0.67,0.09,0.08
MINISE,67.1%,1.14,1.0,34615,39.7%,34010,1.02,73.9,4.9,1871,49905,0.69,0.12,0.68,0.08,0.07
arT,68.3%,1.28,1.09,18525,34.8%,18493,1.0,78.1,3.8,1008,26196,0.71,0.14,0.71,0.1,0.07
Nifty,67.7%,1.08,1.01,15336,36.3%,15026,1.02,70.2,3.2,865,22686,0.68,0.09,0.66,0.1,0.09
emagine,70.7%,1.0,1.01,12837,45.9%,12350,1.04,73.6,4.8,751,18931,0.68,0.14,0.65,0.1,0.09
FugLy,71.4%,0.98,1.01,18921,43.4%,18300,1.03,73.5,3.5,1083,28153,0.67,0.13,0.65,0.1,0.11
speed4k,70.5%,1.01,1.05,13678,39.2%,13110,1.04,69.9,2.9,767,20579,0.66,0.11,0.64,0.09,0.09
kioShiMa,70.6%,0.97,1.01,26259,51.3%,24967,1.05,74.0,5.2,1495,39250,0.67,0.15,0.64,0.08,0.09
DESPE,69.4%,1.04,1.01,8068,29.8%,7748,1.04,68.7,2.5,468,12127,0.67,0.11,0.64,0.08,0.08
jR,68.2%,1.07,1.01,16101,34.0%,15547,1.04,71.6,3.3,892,23804,0.68,0.11,0.65,0.08,0.07
DickStacy,72.6%,1.06,1.08,10534,48.9%,10188,1.03,73.5,4.5,624,15708,0.67,0.15,0.65,0.11,0.09
Polt,70.9%,1.0,1.07,9309,49.2%,8883,1.05,77.7,3.5,512,13537,0.69,0.14,0.66,0.08,0.09
to1nou,68.9%,1.01,1.01,15196,30.5%,14676,1.04,68.8,2.2,850,22377,0.68,0.1,0.66,0.09,0.1
Jinxx,71.7%,0.94,1.04,7054,52.7%,6771,1.04,72.3,3.8,400,10511,0.67,0.12,0.64,0.1,0.13
kalinka,68.8%,1.1,1.01,16112,52.8%,15955,1.01,76.6,3.8,855,22891,0.7,0.12,0.7,0.09,0.09
Stewie2K,70.3%,1.16,1.01,27664,49.4%,27288,1.01,77.6,5.1,1525,39802,0.7,0.14,0.69,0.1,0.08
reatz,70.6%,0.99,1.01,28133,51.5%,27400,1.03,74.0,2.8,1520,40860,0.69,0.12,0.67,0.1,0.11
ap0c,69.9%,1.08,1.01,16582,50.9%,16367,1.01,77.2,5.0,928,23732,0.7,0.15,0.69,0.1,0.09
siuhy,68.7%,1.12,1.07,9679,53.0%,9617,1.01,77.9,4.5,513,13798,0.7,0.13,0.7,0.1,0.09
ayaya,68.5%,1.12,1.01,8333,40.3%,8231,1.01,78.0,2.7,462,11695,0.71,0.14,0.7,0.09,0.09
dazzLe,69.5%,1.15,1.08,12753,42.0%,12761,1.0,80.9,3.5,690,17971,0.71,0.16,0.71,0.1,0.09
grux,69.8%,1.01,1.04,9112,67.1%,8874,1.03,73.8,2.9,490,13084,0.7,0.11,0.68,0.1,0.11
Friis,68.6%,1.05,1.01,16356,26.3%,15609,1.05,69.4,2.4,938,24254,0.67,0.11,0.64,0.09,0.08
J0LZ,69.3%,1.1,1.07,7287,49.3%,7168,1.02,78.3,4.2,394,10297,0.71,0.13,0.7,0.09,0.09
mirbit,72.4%,0.95,1.06,15351,44.0%,14425,1.06,73.5,5.7,866,23162,0.66,0.13,0.62,0.09,0.09
kreaz,70.8%,1.0,1.01,13262,46.9%,12707,1.04,75.6,4.5,739,19641,0.68,0.14,0.65,0.09,0.1
stadodo,70.6%,1.12,1.08,13896,40.3%,13273,1.05,73.8,5.8,783,20600,0.67,0.13,0.64,0.09,0.09
spyleadeR,69.1%,1.17,1.01,16849,42.3%,16756,1.01,81.0,4.7,899,23232,0.73,0.18,0.72,0.1,0.08
obj,71.0%,1.01,1.01,7278,31.6%,6855,1.06,69.9,2.9,418,10936,0.67,0.11,0.63,0.09,0.09
Viva,71.4%,1.04,1.06,10605,46.0%,10125,1.05,71.9,2.7,597,15834,0.67,0.12,0.64,0.1,0.11
Noobster,67.8%,1.11,1.01,8741,34.5%,8534,1.02,73.2,4.0,495,12785,0.68,0.12,0.67,0.09,0.09
Kylar,70.3%,1.02,1.05,10912,59.0%,10619,1.03,73.7,4.5,593,15953,0.68,0.12,0.67,0.1,0.11
jedqr,71.4%,1.03,1.08,15232,53.4%,14642,1.04,77.0,6.0,819,22194,0.69,0.15,0.66,0.1,0.1
EasTor,69.5%,1.03,1.01,9017,28.3%,8646,1.04,68.7,2.8,500,13298,0.68,0.09,0.65,0.1,0.1
byali,69.9%,1.0,1.01,34442,51.6%,33127,1.04,76.1,3.6,1879,49392,0.7,0.14,0.67,0.09,0.1
1962,69.6%,1.14,1.07,10623,53.7%,10622,1.0,76.7,3.8,576,14987,0.71,0.14,0.71,0.11,0.1
