ID,KAST,IMPACT,RATING,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps   played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round
HSK,72.5%,1.09,1.04,9678,31.1%,8833,1.1,75.2,4.5,540,13851,0.7,0.14,0.64,0.12,0.12
Snax,69.0%,1.07,1.04,39509,36.6%,36701,1.08,74.8,4.4,2127,56083,0.7,0.13,0.65,0.08,0.08
Geniuss,71.6%,1.17,1.11,7345,56.4%,7036,1.04,78.5,3.3,398,10155,0.72,0.13,0.69,0.11,0.11
Hiko,71.8%,0.9,1.04,16611,53.9%,15079,1.1,71.6,5.0,937,24398,0.68,0.14,0.62,0.1,0.11
motm,70.7%,1.1,1.09,18117,50.7%,17159,1.06,76.1,3.2,954,25189,0.72,0.12,0.68,0.11,0.12
kabal,70.9%,1.06,1.09,14811,45.9%,13725,1.08,77.7,4.7,799,20960,0.71,0.13,0.65,0.08,0.09
n0rb3r7,68.4%,1.16,1.09,20651,50.9%,19814,1.04,79.7,4.2,1076,28750,0.72,0.13,0.69,0.08,0.07
aumaN,71.1%,1.11,1.04,15892,41.7%,14709,1.08,80.9,5.8,874,22423,0.71,0.16,0.66,0.08,0.08
STOMP,69.7%,1.11,1.09,15139,26.1%,13810,1.1,73.3,3.9,809,21729,0.7,0.11,0.64,0.08,0.09
Swahn,69.7%,1.1,1.08,7290,25.7%,6722,1.08,72.5,3.5,397,10421,0.7,0.1,0.65,0.1,0.1
zewsy,72.0%,1.11,1.04,11142,41.0%,10475,1.06,79.0,3.4,618,15666,0.71,0.16,0.67,0.11,0.1
Snakes,71.6%,1.07,1.09,7426,43.3%,6938,1.07,77.4,4.6,410,10503,0.71,0.13,0.66,0.11,0.1
flusha,70.1%,1.05,1.04,35063,42.0%,32431,1.08,81.1,9.2,1893,49688,0.71,0.17,0.65,0.09,0.08
Kjaerbye,70.1%,1.1,1.04,28608,52.9%,26504,1.08,78.5,3.9,1530,40253,0.71,0.14,0.66,0.09,0.1
jkaem,70.3%,1.17,1.04,25412,51.6%,24220,1.05,80.2,3.7,1316,34740,0.73,0.14,0.7,0.11,0.11
DavCost,69.8%,1.09,1.04,23373,32.4%,21486,1.09,73.9,3.2,1264,33321,0.7,0.12,0.64,0.09,0.09
malta,71.9%,1.08,1.1,17638,39.7%,16211,1.09,77.1,3.7,998,25425,0.69,0.15,0.64,0.09,0.08
Bwills,72.7%,1.06,1.1,14648,50.9%,13666,1.07,78.4,6.3,797,20666,0.71,0.15,0.66,0.12,0.14
refrezh,71.6%,1.05,1.08,18323,49.2%,16980,1.08,75.1,3.4,978,26051,0.7,0.11,0.65,0.1,0.1
cadiaN,70.4%,1.12,1.04,27065,27.6%,24531,1.1,73.3,4.6,1475,38976,0.69,0.11,0.63,0.09,0.08
MarKE,72.9%,1.1,1.12,16750,53.1%,15402,1.09,79.0,5.2,926,23830,0.7,0.15,0.65,0.11,0.12
WolfY,71.6%,1.06,1.08,9790,34.7%,8809,1.11,71.3,3.0,529,14082,0.7,0.1,0.63,0.09,0.11
Lucky,69.9%,1.05,1.07,8456,40.3%,7698,1.1,71.0,2.8,452,12232,0.69,0.09,0.63,0.09,0.1
rommi,69.7%,1.05,1.05,9899,50.8%,9295,1.06,81.1,3.7,516,13467,0.74,0.14,0.69,0.08,0.1
Qikert,72.0%,1.08,1.11,23498,56.3%,21535,1.09,77.4,4.8,1269,33537,0.7,0.13,0.64,0.09,0.1
Zellsis,71.5%,1.11,1.11,11657,46.4%,10854,1.07,79.2,4.8,626,16210,0.72,0.15,0.67,0.1,0.11
Grim,71.5%,1.11,1.1,16813,48.1%,16097,1.04,78.1,3.5,892,23471,0.72,0.13,0.69,0.12,0.13
raafa,69.1%,1.08,1.07,11650,27.4%,10558,1.1,72.4,3.7,640,16832,0.69,0.11,0.63,0.07,0.08
Flarich,71.6%,0.98,1.07,19389,55.2%,17588,1.1,74.1,3.7,1058,28161,0.69,0.11,0.62,0.08,0.1
loWel,73.1%,0.97,1.05,18549,47.5%,16810,1.1,75.8,4.5,1008,26413,0.7,0.13,0.64,0.09,0.11
Aerial,72.5%,1.13,1.11,17911,41.6%,16694,1.07,78.5,2.7,943,25018,0.72,0.15,0.67,0.11,0.11
nin9,70.0%,1.09,1.09,7139,36.8%,6463,1.1,74.6,4.7,388,10202,0.7,0.11,0.63,0.08,0.09
NEEX,68.2%,1.09,1.05,8076,31.3%,7502,1.08,71.5,1.6,429,11195,0.72,0.09,0.67,0.08,0.1
SicK,71.9%,1.11,1.05,15002,49.8%,13962,1.07,77.7,2.6,795,20701,0.72,0.13,0.67,0.1,0.12
juanflatroo,68.7%,1.17,1.1,11448,57.2%,11035,1.04,83.0,5.3,568,15165,0.75,0.13,0.73,0.1,0.1
FASHR,71.7%,1.14,1.11,13998,48.8%,13241,1.06,79.4,5.4,731,19399,0.72,0.15,0.68,0.11,0.13
yay,69.9%,1.16,1.05,12452,46.7%,11848,1.05,77.6,3.4,653,17182,0.72,0.13,0.69,0.1,0.11
sdy,72.6%,1.03,1.11,19886,50.6%,17960,1.11,76.7,4.1,1092,28600,0.7,0.13,0.63,0.1,0.11
REDSTAR,71.6%,1.07,1.1,12169,48.7%,11008,1.11,74.9,4.3,651,17267,0.7,0.12,0.64,0.1,0.1
TeSeS,71.3%,1.12,1.11,15953,55.3%,14907,1.07,78.5,4.6,832,22223,0.72,0.14,0.67,0.11,0.12
KRIMZ,71.2%,1.01,1.05,33075,40.8%,30004,1.1,76.4,4.2,1791,47130,0.7,0.15,0.64,0.09,0.1
KEi,69.6%,1.21,1.12,12891,46.3%,12282,1.05,82.6,4.7,649,17432,0.74,0.14,0.7,0.09,0.09
stavn,70.7%,1.14,1.12,21743,42.9%,20242,1.07,81.1,4.1,1120,29840,0.73,0.14,0.68,0.09,0.1
afro,69.7%,1.11,1.08,10898,34.9%,9943,1.1,72.2,5.3,588,15720,0.69,0.11,0.63,0.08,0.09
mou,69.7%,1.13,1.05,28048,28.0%,25564,1.1,73.9,4.0,1489,39475,0.71,0.11,0.65,0.08,0.09
zeph,69.3%,1.21,1.11,10590,48.4%,10011,1.06,80.2,3.9,564,14357,0.74,0.13,0.7,0.1,0.1
tabseN,69.5%,1.23,1.05,37751,49.0%,36211,1.04,84.7,8.2,1953,51605,0.73,0.16,0.7,0.09,0.09
Marcelious,69.4%,1.11,1.08,9052,31.2%,8397,1.08,74.2,3.2,472,12716,0.71,0.1,0.66,0.1,0.11
cajunb,70.1%,1.02,1.05,31980,41.0%,29096,1.1,73.5,3.1,1745,45680,0.7,0.12,0.64,0.09,0.1
HZ,73.8%,1.14,1.05,9305,49.4%,8614,1.08,81.7,3.8,500,12856,0.72,0.17,0.67,0.13,0.12
Ramz1kBO$$,67.2%,1.2,1.09,8110,33.8%,7557,1.07,75.9,1.5,425,11070,0.73,0.1,0.68,0.07,0.08
iM,69.8%,1.17,1.11,15214,48.7%,14387,1.06,82.2,3.7,768,20592,0.74,0.13,0.7,0.09,0.09
Sobol,70.7%,1.06,1.09,15166,52.1%,14052,1.08,77.9,4.2,785,21220,0.71,0.13,0.66,0.08,0.08
JW,67.6%,1.16,1.05,37544,36.6%,35005,1.07,76.2,4.0,1955,51388,0.73,0.14,0.68,0.08,0.08
ISSAA,72.1%,1.06,1.05,16229,55.5%,14827,1.09,75.7,3.6,870,22834,0.71,0.12,0.65,0.1,0.11
bottle,71.1%,1.11,1.05,14489,56.8%,13618,1.06,79.5,3.6,768,19801,0.73,0.14,0.69,0.1,0.1
rallen,71.3%,1.12,1.05,33670,43.0%,30677,1.1,82.0,7.4,1751,46759,0.72,0.16,0.66,0.09,0.09
Rainwaker,72.4%,1.05,1.1,21206,42.3%,19252,1.1,77.1,4.5,1127,30404,0.7,0.13,0.63,0.08,0.1
